name,asset_class,broad_asset_class,region,country_market,base_currency,hedged,units,data_source,validation_status,audit_symbol,is_level,is_yield,pence,tier,simple_dash,has_output
S&P 500,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^GSPC,False,False,False,C,True,True
Dow Jones Industrial Average,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^DJI,False,False,False,C,False,True
NASDAQ Composite,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^IXIC,False,False,False,C,False,True
NYSE Composite,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^NYA,False,False,False,C,False,True
Russell 1000,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^RUI,False,False,False,C,False,True
S&P MidCap 400,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^MID,False,False,False,C,False,True
Russell 2000,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^RUT,False,False,False,C,True,True
S&P SmallCap 600,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP600,False,False,False,C,False,True
S&P 500 Value,Equity,Equity,North America,United States,USD,False,Index,yfinance TR,CONFIRMED,IVE,False,False,False,A,False,True
S&P 500 Growth,Equity,Equity,North America,United States,USD,False,Index,yfinance TR,CONFIRMED,IVW,False,False,False,A,False,True
Russell 1000 Value,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^RLV,False,False,False,C,False,True
Russell 1000 Growth,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^RLG,False,False,False,C,True,True
Russell 2000 Value,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^RUJ,False,False,False,C,False,True
Russell 2000 Growth,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^RUO,False,False,False,C,False,True
S&P 500 Energy,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^GSPE,False,False,False,C,True,True
S&P 500 Materials,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-15,False,False,False,C,True,True
S&P 500 Industrials,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-20,False,False,False,C,True,True
S&P 500 Consumer Discretionary,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-25,False,False,False,C,True,True
S&P 500 Consumer Staples,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-30,False,False,False,C,True,True
S&P 500 Health Care,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-35,False,False,False,C,True,True
S&P 500 Financials,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-40,False,False,False,C,True,True
S&P 500 Information Technology,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-45,False,False,False,C,True,True
S&P 500 Communication Services,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-50,False,False,False,C,True,True
S&P 500 Utilities,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-55,False,False,False,C,True,True
S&P 500 Real Estate,Equity,Equity,North America,United States,USD,False,Index,yfinance PR,CONFIRMED,^SP500-60,False,False,False,C,True,True
FTSE 100,Equity,Equity,UK,United Kingdom,GBP,False,Index,yfinance PR,CONFIRMED,^FTSE,False,False,False,C,True,True
FTSE 250,Equity,Equity,UK,United Kingdom,GBP,False,Index,yfinance PR,CONFIRMED,^FTMC,False,False,False,C,True,True
FTSE All-Share,Equity,Equity,UK,United Kingdom,GBP,False,Index,yfinance PR,CONFIRMED,^FTAS,False,False,False,C,False,True
FTSE SmallCap,Equity,Equity,UK,United Kingdom,GBP,False,Index,yfinance PR,CONFIRMED,^FTSC,False,False,False,C,False,True
DAX 40,Equity,Equity,Europe,Germany,EUR,False,Index,yfinance PR,CONFIRMED,^GDAXI,False,False,False,C,True,True
MDAX,Equity,Equity,Europe,Germany,EUR,False,Index,yfinance PR,CONFIRMED,^MDAXI,False,False,False,C,False,True
SDAX,Equity,Equity,Europe,Germany,EUR,False,Index,yfinance PR,CONFIRMED,^SDAXI,False,False,False,C,False,True
TecDAX,Equity,Equity,Europe,Germany,EUR,False,Index,yfinance PR,CONFIRMED,^TECDAX,False,False,False,C,False,True
CAC 40,Equity,Equity,Europe,France,EUR,False,Index,yfinance PR,CONFIRMED,^FCHI,False,False,False,C,False,True
CAC Mid 60,Equity,Equity,Europe,France,EUR,False,Index,yfinance PR,CONFIRMED,^CM100,False,False,False,C,False,True
FTSE MIB Index,Equity,Equity,Europe,Italy,EUR,False,Index,yfinance PR,CONFIRMED,FTSEMIB.MI,False,False,False,B,False,True
Nikkei 225,Equity,Equity,Japan,Japan,JPY,False,Index,yfinance PR,CONFIRMED,^N225,False,False,False,C,True,True
TOPIX Index,Equity,Equity,Japan,Japan,JPY,False,Index,yfinance TR,CONFIRMED,1306.T,False,False,False,B,False,True
S&P/TSX Composite,Equity,Equity,North America,Canada,CAD,False,Index,yfinance PR,CONFIRMED,^GSPTSE,False,False,False,C,False,True
S&P/TSX 60,Equity,Equity,North America,Canada,CAD,False,Index,yfinance TR,CONFIRMED,XIU.TO,False,False,False,B,False,True
S&P/TSX SmallCap,Equity,Equity,North America,Canada,CAD,False,Index,yfinance TR,CONFIRMED,XCS.TO,False,False,False,B,False,True
S&P/ASX 200,Equity,Equity,Asia Pacific,Australia,AUD,False,Index,yfinance PR,CONFIRMED,^AXJO,False,False,False,C,False,True
S&P/ASX All Ordinaries,Equity,Equity,Asia Pacific,Australia,AUD,False,Index,yfinance PR,CONFIRMED,^AORD,False,False,False,C,False,True
S&P/ASX Small Ordinaries,Equity,Equity,Asia Pacific,Australia,AUD,False,Index,yfinance PR,CONFIRMED,^AXSO,False,False,False,C,False,True
Shanghai Composite,Equity,Equity,Asia Pacific,China,CNY,False,Index,yfinance PR,CONFIRMED,000001.SS,False,False,False,B,True,True
CSI 300 Index,Equity,Equity,Asia Pacific,China,CNY,False,Index,yfinance PR,CONFIRMED,000300.SS,False,False,False,B,False,True
CSI 500 Index,Equity,Equity,Asia Pacific,China,CNY,False,Index,yfinance PR,UNAVAILABLE,000905.SS,False,False,False,B,False,False
CSI 1000 Index,Equity,Equity,Asia Pacific,China,CNY,False,Index,yfinance PR,UNAVAILABLE,000852.SS,False,False,False,B,False,False
Hang Seng Index,Equity,Equity,Asia Pacific,Hong Kong,HKD,False,Index,yfinance PR,CONFIRMED,^HSI,False,False,False,C,False,True
S&P BSE Sensex,Equity,Equity,Asia Pacific,India,INR,False,Index,yfinance PR,CONFIRMED,^BSESN,False,False,False,C,True,True
Nifty 50,Equity,Equity,Asia Pacific,India,INR,False,Index,yfinance PR,CONFIRMED,^NSEI,False,False,False,C,True,True
Nifty Midcap 100,Equity,Equity,Asia Pacific,India,INR,False,Index,yfinance PR,CONFIRMED,^CRSMID,False,False,False,C,False,True
Nifty Smallcap 100,Equity,Equity,Asia Pacific,India,INR,False,Index,yfinance TR,CONFIRMED,SMALLCAP.NS,False,False,False,B,False,True
Bovespa (IBOVESPA),Equity,Equity,Latin America,Brazil,BRL,False,Index,yfinance PR,CONFIRMED,^BVSP,False,False,False,C,False,True
KOSPI,Equity,Equity,Asia Pacific,South Korea,KRW,False,Index,yfinance PR,CONFIRMED,^KS11,False,False,False,C,False,True
KOSPI 200,Equity,Equity,Asia Pacific,South Korea,KRW,False,Index,yfinance PR,CONFIRMED,^KS200,False,False,False,C,False,True
KOSDAQ,Equity,Equity,Asia Pacific,South Korea,KRW,False,Index,yfinance PR,CONFIRMED,^KQ11,False,False,False,C,False,True
S&P/BMV IPC Index (Mexico),Equity,Equity,Latin America,Mexico,MXN,False,Index,yfinance PR,CONFIRMED,^MXX,False,False,False,C,False,True
Jakarta Composite (IDX Composite),Equity,Equity,Asia Pacific,Indonesia,IDR,False,Index,yfinance PR,CONFIRMED,^JKSE,False,False,False,C,False,True
Tadawul All Share Index (Saudi),Equity,Equity,Middle East & Africa,Saudi Arabia,SAR,False,Index,yfinance PR,CONFIRMED,^TASI.SR,False,False,False,C,False,True
FTSE/JSE All Share,Equity,Equity,Middle East & Africa,South Africa,ZAR,False,Index,yfinance PR,CONFIRMED,^J203.JO,False,False,False,C,False,True
