series_id,col,name,category,subcategory,units,frequency,country,notes,sort_key,concept,cycle_timing,freshness_override_days
economy/inflationandpriceindices/timeseries/d7g7/mm23,GBR_CPI_YOY,UK CPI Annual Rate (All Items),Prices,Consumer Prices,Percent,Monthly,GBR,ONS CDID D7G7 (dataset MM23) — CPI 12-month rate. Verified live 2026-05-28 (2.8% @ 2026-04). Keyless Zebedee /data API.,480,Prices / Inflation,L,45
economy/inflationandpriceindices/timeseries/l55o/mm23,GBR_CPIH_YOY,UK CPIH Annual Rate (All Items),Prices,Consumer Prices,Percent,Monthly,GBR,ONS CDID L55O (dataset MM23) — CPIH 12-month rate (includes owner-occupier housing). Verified live 2026-05-28 (3.0% @ 2026-04).,481,Prices / Inflation,L,45
economy/grossdomesticproductgdp/timeseries/abmi/pn2,GBR_GDP_REAL,UK GDP Chained Volume Measure (Real GDP),GDP,Output,GBP millions chained,Quarterly,GBR,ONS CDID ABMI (dataset PN2) — real GDP seasonally adjusted. Verified live 2026-05-28 (710896 @ 2026-Q1).,482,Activity / Output,C,90
employmentandlabourmarket/peoplenotinwork/unemployment/timeseries/mgsx/lms,GBR_UNEMPLOYMENT,UK Unemployment Rate (16+),Labour,Unemployment,Percent,Monthly,GBR,ONS CDID MGSX (dataset LMS) — unemployment rate aged 16+ seasonally adjusted. Verified live 2026-05-28 (5.0%).,483,Labour Market,L,45
employmentandlabourmarket/peopleinwork/employmentandemployeetypes/timeseries/lf24/lms,GBR_EMP_RATE,UK Employment Rate (16-64),Labour,Employment,Percent,Monthly,GBR,ONS CDID LF24 (dataset LMS) — employment rate aged 16-64 seasonally adjusted. Verified live 2026-05-28 (75.0%).,484,Labour Market,C,45
employmentandlabourmarket/peopleinwork/earningsandworkinghours/timeseries/kai9/lms,GBR_AWE_REGPAY_YOY,UK Average Weekly Earnings Regular Pay Growth (YoY 3M avg),Labour,Earnings,Percent,Monthly,GBR,ONS CDID KAI9 (dataset LMS) — AWE whole-economy regular pay (ex-arrears) YoY 3-month average growth SA. Verified live 2026-05-28 (3.4%).,485,Labour Market,L,45
economy/inflationandpriceindices/timeseries/dko8/mm23,GBR_CORE_CPI_YOY,UK Core CPI Annual Rate (ex Energy/Food/Alcohol/Tobacco),Prices,Consumer Prices,Percent,Monthly,GBR,ONS CDID DKO8 (dataset MM23) — CPI 12-month rate excluding energy/food/alcoholic beverages/tobacco (the BoE-watched core measure). Back to Jan 1989. Verified live 2026-06-10 (2.5% @ 2026-04). Wired §3.1.3 follow-up: blended into UK_INFL1 alongside GBR_CPI headline.,486,Prices / Inflation,L,45
economy/economicoutputandproductivity/output/timeseries/k222/diop,GBR_IND_PROD,UK Index of Production (B-E Production CVM SA),GDP,Output,Index 2022=100,Monthly,GBR,ONS CDID K222 (dataset DIOP) — Index of Production sections B–E (mining/manufacturing/utilities) chained volume measure SA. Verified live 2026-06-10 (939 monthly obs back to 1948-01; last 2026-03). Closes the UK industrial production leg of §3.1 Stage C.,487,Activity / Output,C,60
economy/economicoutputandproductivity/output/timeseries/s2ku/ios1,GBR_SERV_PROD,UK Index of Services (Total SA),GDP,Output,Index 2022=100,Monthly,GBR,ONS CDID S2KU (dataset IOS1) — Index of Services total SA. Verified live 2026-06-10 (351 monthly obs back to 1997-01; last 2026-03). Closes the UK services-output leg of §3.1 Stage C (~80% of UK GDP).,488,Activity / Output,C,60
businessindustryandtrade/retailindustry/timeseries/j5ek/drsi,GBR_RETAIL_VOL,UK Retail Sales Index (Volume SA all retailers inc fuel),Consumption,Retail,Index base year = 100,Monthly,GBR,ONS CDID J5EK (dataset DRSI) — RSI volume SA all retailers including auto fuel. Verified live 2026-06-10 (364 monthly obs back to 1996-01; last 2026-04). Closes the UK retail-sales leg of §3.1 Stage C.,489,Consumer,C,60
