Date,BSCICP03USM665S
1946-12-27,
1947-01-03,
1947-01-10,
1947-01-17,
1947-01-24,
1947-01-31,
1947-02-07,
1947-02-14,
1947-02-21,
1947-02-28,
1947-03-07,
1947-03-14,
1947-03-21,
1947-03-28,
1947-04-04,
1947-04-11,
1947-04-18,
1947-04-25,
1947-05-02,
1947-05-09,
1947-05-16,
1947-05-23,
1947-05-30,
1947-06-06,
1947-06-13,
1947-06-20,
1947-06-27,
1947-07-04,
1947-07-11,
1947-07-18,
1947-07-25,
1947-08-01,
1947-08-08,
1947-08-15,
1947-08-22,
1947-08-29,
1947-09-05,
1947-09-12,
1947-09-19,
1947-09-26,
1947-10-03,
1947-10-10,
1947-10-17,
1947-10-24,
1947-10-31,
1947-11-07,
1947-11-14,
1947-11-21,
1947-11-28,
1947-12-05,
1947-12-12,
1947-12-19,
1947-12-26,
1948-01-02,
1948-01-09,
1948-01-16,
1948-01-23,
1948-01-30,
1948-02-06,
1948-02-13,
1948-02-20,
1948-02-27,
1948-03-05,
1948-03-12,
1948-03-19,
1948-03-26,
1948-04-02,
1948-04-09,
1948-04-16,
1948-04-23,
1948-04-30,
1948-05-07,
1948-05-14,
1948-05-21,
1948-05-28,
1948-06-04,
1948-06-11,
1948-06-18,
1948-06-25,
1948-07-02,
1948-07-09,
1948-07-16,
1948-07-23,
1948-07-30,
1948-08-06,
1948-08-13,
1948-08-20,
1948-08-27,
1948-09-03,
1948-09-10,
1948-09-17,
1948-09-24,
1948-10-01,
1948-10-08,
1948-10-15,
1948-10-22,
1948-10-29,
1948-11-05,
1948-11-12,
1948-11-19,
1948-11-26,
1948-12-03,
1948-12-10,
1948-12-17,
1948-12-24,
1948-12-31,
1949-01-07,
1949-01-14,
1949-01-21,
1949-01-28,
1949-02-04,
1949-02-11,
1949-02-18,
1949-02-25,
1949-03-04,
1949-03-11,
1949-03-18,
1949-03-25,
1949-04-01,
1949-04-08,
1949-04-15,
1949-04-22,
1949-04-29,
1949-05-06,
1949-05-13,
1949-05-20,
1949-05-27,
1949-06-03,
1949-06-10,
1949-06-17,
1949-06-24,
1949-07-01,
1949-07-08,
1949-07-15,
1949-07-22,
1949-07-29,
1949-08-05,
1949-08-12,
1949-08-19,
1949-08-26,
1949-09-02,
1949-09-09,
1949-09-16,
1949-09-23,
1949-09-30,
1949-10-07,
1949-10-14,
1949-10-21,
1949-10-28,
1949-11-04,
1949-11-11,
1949-11-18,
1949-11-25,
1949-12-02,
1949-12-09,
1949-12-16,
1949-12-23,
1949-12-30,
1950-01-06,101.1195
1950-01-13,101.1195
1950-01-20,101.1195
1950-01-27,101.1195
1950-02-03,101.6662
1950-02-10,101.6662
1950-02-17,101.6662
1950-02-24,101.6662
1950-03-03,102.3950
1950-03-10,102.3950
1950-03-17,102.3950
1950-03-24,102.3950
1950-03-31,102.3950
1950-04-07,103.4334
1950-04-14,103.4334
1950-04-21,103.4334
1950-04-28,103.4334
1950-05-05,104.4801
1950-05-12,104.4801
1950-05-19,104.4801
1950-05-26,104.4801
1950-06-02,105.0959
1950-06-09,105.0959
1950-06-16,105.0959
1950-06-23,105.0959
1950-06-30,105.0959
1950-07-07,105.1192
1950-07-14,105.1192
1950-07-21,105.1192
1950-07-28,105.1192
1950-08-04,104.4706
1950-08-11,104.4706
1950-08-18,104.4706
1950-08-25,104.4706
1950-09-01,103.3298
1950-09-08,103.3298
1950-09-15,103.3298
1950-09-22,103.3298
1950-09-29,103.3298
1950-10-06,102.4069
1950-10-13,102.4069
1950-10-20,102.4069
1950-10-27,102.4069
1950-11-03,102.3774
1950-11-10,102.3774
1950-11-17,102.3774
1950-11-24,102.3774
1950-12-01,102.8340
1950-12-08,102.8340
1950-12-15,102.8340
1950-12-22,102.8340
1950-12-29,102.8340
1951-01-05,103.1797
1951-01-12,103.1797
1951-01-19,103.1797
1951-01-26,103.1797
1951-02-02,103.0571
1951-02-09,103.0571
1951-02-16,103.0571
1951-02-23,103.0571
1951-03-02,102.1581
1951-03-09,102.1581
1951-03-16,102.1581
1951-03-23,102.1581
1951-03-30,102.1581
1951-04-06,100.6792
1951-04-13,100.6792
1951-04-20,100.6792
1951-04-27,100.6792
1951-05-04,99.3776
1951-05-11,99.3776
1951-05-18,99.3776
1951-05-25,99.3776
1951-06-01,98.3927
1951-06-08,98.3927
1951-06-15,98.3927
1951-06-22,98.3927
1951-06-29,98.3927
1951-07-06,97.9268
1951-07-13,97.9268
1951-07-20,97.9268
1951-07-27,97.9268
1951-08-03,98.0782
1951-08-10,98.0782
1951-08-17,98.0782
1951-08-24,98.0782
1951-08-31,98.0782
1951-09-07,98.5540
1951-09-14,98.5540
1951-09-21,98.5540
1951-09-28,98.5540
1951-10-05,98.8504
1951-10-12,98.8504
1951-10-19,98.8504
1951-10-26,98.8504
1951-11-02,98.7747
1951-11-09,98.7747
1951-11-16,98.7747
1951-11-23,98.7747
1951-11-30,98.7747
1951-12-07,98.4805
1951-12-14,98.4805
1951-12-21,98.4805
1951-12-28,98.4805
1952-01-04,98.0120
1952-01-11,98.0120
1952-01-18,98.0120
1952-01-25,98.0120
1952-02-01,97.4430
1952-02-08,97.4430
1952-02-15,97.4430
1952-02-22,97.4430
1952-02-29,97.4430
1952-03-07,96.9471
1952-03-14,96.9471
1952-03-21,96.9471
1952-03-28,96.9471
1952-04-04,96.7236
1952-04-11,96.7236
1952-04-18,96.7236
1952-04-25,96.7236
1952-05-02,97.0948
1952-05-09,97.0948
1952-05-16,97.0948
1952-05-23,97.0948
1952-05-30,97.0948
1952-06-06,97.9986
1952-06-13,97.9986
1952-06-20,97.9986
1952-06-27,97.9986
1952-07-04,99.2378
1952-07-11,99.2378
1952-07-18,99.2378
1952-07-25,99.2378
1952-08-01,100.4175
1952-08-08,100.4175
1952-08-15,100.4175
1952-08-22,100.4175
1952-08-29,100.4175
1952-09-05,100.8145
1952-09-12,100.8145
1952-09-19,100.8145
1952-09-26,100.8145
1952-10-03,100.8770
1952-10-10,100.8770
1952-10-17,100.8770
1952-10-24,100.8770
1952-10-31,100.8770
1952-11-07,100.8763
1952-11-14,100.8763
1952-11-21,100.8763
1952-11-28,100.8763
1952-12-05,100.8654
1952-12-12,100.8654
1952-12-19,100.8654
1952-12-26,100.8654
1953-01-02,100.8131
1953-01-09,100.8131
1953-01-16,100.8131
1953-01-23,100.8131
1953-01-30,100.8131
1953-02-06,100.3936
1953-02-13,100.3936
1953-02-20,100.3936
1953-02-27,100.3936
1953-03-06,99.8357
1953-03-13,99.8357
1953-03-20,99.8357
1953-03-27,99.8357
1953-04-03,99.4565
1953-04-10,99.4565
1953-04-17,99.4565
1953-04-24,99.4565
1953-05-01,99.1339
1953-05-08,99.1339
1953-05-15,99.1339
1953-05-22,99.1339
1953-05-29,99.1339
1953-06-05,98.8187
1953-06-12,98.8187
1953-06-19,98.8187
1953-06-26,98.8187
1953-07-03,98.3694
1953-07-10,98.3694
1953-07-17,98.3694
1953-07-24,98.3694
1953-07-31,98.3694
1953-08-07,97.7791
1953-08-14,97.7791
1953-08-21,97.7791
1953-08-28,97.7791
1953-09-04,97.1376
1953-09-11,97.1376
1953-09-18,97.1376
