Date,US_G1_raw,US_G1_zscore,US_G1_regime,US_G1_fwd_regime,US_G2_raw,US_G2_zscore,US_G2_regime,US_G2_fwd_regime,US_EQ_F3_raw,US_EQ_F3_zscore,US_EQ_F3_regime,US_EQ_F3_fwd_regime,US_EQ_F1_raw,US_EQ_F1_zscore,US_EQ_F1_regime,US_EQ_F1_fwd_regime,US_R1_raw,US_R1_zscore,US_R1_regime,US_R1_fwd_regime,US_Cr2_raw,US_Cr2_zscore,US_Cr2_regime,US_Cr2_fwd_regime,GL_CA_I1_raw,GL_CA_I1_zscore,GL_CA_I1_regime,GL_CA_I1_fwd_regime,US_V1_raw,US_V1_zscore,US_V1_regime,US_V1_fwd_regime,US_V2_raw,US_V2_zscore,US_V2_regime,US_V2_fwd_regime,FX_CMD2_raw,FX_CMD2_zscore,FX_CMD2_regime,FX_CMD2_fwd_regime,FX_CMD1_raw,FX_CMD1_zscore,FX_CMD1_regime,FX_CMD1_fwd_regime,M1_raw,M1_zscore,M1_regime,M1_fwd_regime,M2_raw,M2_zscore,M2_regime,M2_fwd_regime,M3_raw,M3_zscore,M3_regime,M3_fwd_regime,M4_raw,M4_zscore,M4_regime,M4_fwd_regime,M5_raw,M5_zscore,M5_regime,M5_fwd_regime,EU_G3_raw,EU_G3_zscore,EU_G3_regime,EU_G3_fwd_regime,UK_G1_raw,UK_G1_zscore,UK_G1_regime,UK_G1_fwd_regime,EU_G2_raw,EU_G2_zscore,EU_G2_regime,EU_G2_fwd_regime,EU_Cr2_raw,EU_Cr2_zscore,EU_Cr2_regime,EU_Cr2_fwd_regime,UK_R2_raw,UK_R2_zscore,UK_R2_regime,UK_R2_fwd_regime,UK_Cr1_raw,UK_Cr1_zscore,UK_Cr1_regime,UK_Cr1_fwd_regime,EU_G4_raw,EU_G4_zscore,EU_G4_regime,EU_G4_fwd_regime,AS_CN_G3_raw,AS_CN_G3_zscore,AS_CN_G3_regime,AS_CN_G3_fwd_regime,AS_CN_G2_raw,AS_CN_G2_zscore,AS_CN_G2_regime,AS_CN_G2_fwd_regime,AS_IN_G1_raw,AS_IN_G1_zscore,AS_IN_G1_regime,AS_IN_G1_fwd_regime,AS_IN_R1_raw,AS_IN_R1_zscore,AS_IN_R1_regime,AS_IN_R1_fwd_regime,FX_CN1_raw,FX_CN1_zscore,FX_CN1_regime,FX_CN1_fwd_regime,FX_1_raw,FX_1_zscore,FX_1_regime,FX_1_fwd_regime,US_Cr1_raw,US_Cr1_zscore,US_Cr1_regime,US_Cr1_fwd_regime,US_Cr3_raw,US_Cr3_zscore,US_Cr3_regime,US_Cr3_fwd_regime,US_R2_raw,US_R2_zscore,US_R2_regime,US_R2_fwd_regime,US_R5_raw,US_R5_zscore,US_R5_regime,US_R5_fwd_regime,US_R4_raw,US_R4_zscore,US_R4_regime,US_R4_fwd_regime,UK_R1_raw,UK_R1_zscore,UK_R1_regime,UK_R1_fwd_regime,FX_CMD5_raw,FX_CMD5_zscore,FX_CMD5_regime,FX_CMD5_fwd_regime,FX_CMD4_raw,FX_CMD4_zscore,FX_CMD4_regime,FX_CMD4_fwd_regime,US_JOBS1_raw,US_JOBS1_zscore,US_JOBS1_regime,US_JOBS1_fwd_regime,US_JOBS3_raw,US_JOBS3_zscore,US_JOBS3_regime,US_JOBS3_fwd_regime,US_G6_raw,US_G6_zscore,US_G6_regime,US_G6_fwd_regime,US_HOUS1_raw,US_HOUS1_zscore,US_HOUS1_regime,US_HOUS1_fwd_regime,US_M2_raw,US_M2_zscore,US_M2_regime,US_M2_fwd_regime,GL_CLI1_raw,GL_CLI1_zscore,GL_CLI1_regime,GL_CLI1_fwd_regime,GL_CLI2_raw,GL_CLI2_zscore,GL_CLI2_regime,GL_CLI2_fwd_regime,EU_CLI1_raw,EU_CLI1_zscore,EU_CLI1_regime,EU_CLI1_fwd_regime,AS_CLI1_raw,AS_CLI1_zscore,AS_CLI1_regime,AS_CLI1_fwd_regime,GL_CLI5_raw,GL_CLI5_zscore,GL_CLI5_regime,GL_CLI5_fwd_regime,US_CLI1_raw,US_CLI1_zscore,US_CLI1_regime,US_CLI1_fwd_regime,CA_CLI1_raw,CA_CLI1_zscore,CA_CLI1_regime,CA_CLI1_fwd_regime,DE_CLI1_raw,DE_CLI1_zscore,DE_CLI1_regime,DE_CLI1_fwd_regime,FR_CLI1_raw,FR_CLI1_zscore,FR_CLI1_regime,FR_CLI1_fwd_regime,UK_CLI1_raw,UK_CLI1_zscore,UK_CLI1_regime,UK_CLI1_fwd_regime,IT_CLI1_raw,IT_CLI1_zscore,IT_CLI1_regime,IT_CLI1_fwd_regime,JP_CLI1_raw,JP_CLI1_zscore,JP_CLI1_regime,JP_CLI1_fwd_regime,CN_CLI1_raw,CN_CLI1_zscore,CN_CLI1_regime,CN_CLI1_fwd_regime,AU_CLI1_raw,AU_CLI1_zscore,AU_CLI1_regime,AU_CLI1_fwd_regime,US_G3_raw,US_G3_zscore,US_G3_regime,US_G3_fwd_regime,US_EQ_F4_raw,US_EQ_F4_zscore,US_EQ_F4_regime,US_EQ_F4_fwd_regime,US_EQ_F2_raw,US_EQ_F2_zscore,US_EQ_F2_regime,US_EQ_F2_fwd_regime,US_R3_raw,US_R3_zscore,US_R3_regime,US_R3_fwd_regime,US_CA_G1_raw,US_CA_G1_zscore,US_CA_G1_regime,US_CA_G1_fwd_regime,US_Cr4_raw,US_Cr4_zscore,US_Cr4_regime,US_Cr4_fwd_regime,US_G5_raw,US_G5_zscore,US_G5_regime,US_G5_fwd_regime,US_G4_raw,US_G4_zscore,US_G4_regime,US_G4_fwd_regime,US_ISM1_raw,US_ISM1_zscore,US_ISM1_regime,US_ISM1_fwd_regime,US_R6_raw,US_R6_zscore,US_R6_regime,US_R6_fwd_regime,US_JOBS2_raw,US_JOBS2_zscore,US_JOBS2_regime,US_JOBS2_fwd_regime,EU_R1_raw,EU_R1_zscore,EU_R1_regime,EU_R1_fwd_regime,EU_G1_raw,EU_G1_zscore,EU_G1_regime,EU_G1_fwd_regime,JP_G1_raw,JP_G1_zscore,JP_G1_regime,JP_G1_fwd_regime,FX_2_raw,FX_2_zscore,FX_2_regime,FX_2_fwd_regime,GL_G2_raw,GL_G2_zscore,GL_G2_regime,GL_G2_fwd_regime,GL_G1_raw,GL_G1_zscore,GL_G1_regime,GL_G1_fwd_regime,FX_CMD6_raw,FX_CMD6_zscore,FX_CMD6_regime,FX_CMD6_fwd_regime,FX_CMD3_raw,FX_CMD3_zscore,FX_CMD3_regime,FX_CMD3_fwd_regime,FX_EM1_raw,FX_EM1_zscore,FX_EM1_regime,FX_EM1_fwd_regime,US_PMI1_raw,US_PMI1_zscore,US_PMI1_regime,US_PMI1_fwd_regime,US_PMI2_raw,US_PMI2_zscore,US_PMI2_regime,US_PMI2_fwd_regime,US_SVC1_raw,US_SVC1_zscore,US_SVC1_regime,US_SVC1_fwd_regime,EU_PMI1_raw,EU_PMI1_zscore,EU_PMI1_regime,EU_PMI1_fwd_regime,EU_PMI2_raw,EU_PMI2_zscore,EU_PMI2_regime,EU_PMI2_fwd_regime,EU_ESI1_raw,EU_ESI1_zscore,EU_ESI1_regime,EU_ESI1_fwd_regime,DE_IFO1_raw,DE_IFO1_zscore,DE_IFO1_regime,DE_IFO1_fwd_regime,UK_PMI1_raw,UK_PMI1_zscore,UK_PMI1_regime,UK_PMI1_fwd_regime,CN_PMI1_raw,CN_PMI1_zscore,CN_PMI1_regime,CN_PMI1_fwd_regime,GL_PMI1_raw,GL_PMI1_zscore,GL_PMI1_regime,GL_PMI1_fwd_regime,AS_CN_G1_raw,AS_CN_G1_zscore,AS_CN_G1_regime,AS_CN_G1_fwd_regime,GLOBAL_GOLD1_raw,GLOBAL_GOLD1_zscore,GLOBAL_GOLD1_regime,GLOBAL_GOLD1_fwd_regime,US_INFL1_raw,US_INFL1_zscore,US_INFL1_regime,US_INFL1_fwd_regime,UK_INFL1_raw,UK_INFL1_zscore,UK_INFL1_regime,UK_INFL1_fwd_regime,EU_INFL1_raw,EU_INFL1_zscore,EU_INFL1_regime,EU_INFL1_fwd_regime,JP_INFL1_raw,JP_INFL1_zscore,JP_INFL1_regime,JP_INFL1_fwd_regime,CN_INFL1_raw,CN_INFL1_zscore,CN_INFL1_regime,CN_INFL1_fwd_regime,US_INFEXP1_raw,US_INFEXP1_zscore,US_INFEXP1_regime,US_INFEXP1_fwd_regime,EU_NOWCAST1_raw,EU_NOWCAST1_zscore,EU_NOWCAST1_regime,EU_NOWCAST1_fwd_regime,US_GDPNOW1_raw,US_GDPNOW1_zscore,US_GDPNOW1_regime,US_GDPNOW1_fwd_regime,US_NOWCAST1_raw,US_NOWCAST1_zscore,US_NOWCAST1_regime,US_NOWCAST1_fwd_regime,JP_TANKAN_SPREAD1_raw,JP_TANKAN_SPREAD1_zscore,JP_TANKAN_SPREAD1_regime,JP_TANKAN_SPREAD1_fwd_regime,JP_TANKAN_SVC1_raw,JP_TANKAN_SVC1_zscore,JP_TANKAN_SVC1_regime,JP_TANKAN_SVC1_fwd_regime,JP_TANKAN_FWD1_raw,JP_TANKAN_FWD1_zscore,JP_TANKAN_FWD1_regime,JP_TANKAN_FWD1_fwd_regime,UK_NOWCAST1_raw,UK_NOWCAST1_zscore,UK_NOWCAST1_regime,UK_NOWCAST1_fwd_regime,JP_NOWCAST1_raw,JP_NOWCAST1_zscore,JP_NOWCAST1_regime,JP_NOWCAST1_fwd_regime,US_ISM2_raw,US_ISM2_zscore,US_ISM2_regime,US_ISM2_fwd_regime,UK_TAYLOR1_raw,UK_TAYLOR1_zscore,UK_TAYLOR1_regime,UK_TAYLOR1_fwd_regime,EU_TAYLOR1_raw,EU_TAYLOR1_zscore,EU_TAYLOR1_regime,EU_TAYLOR1_fwd_regime,JP_TAYLOR1_raw,JP_TAYLOR1_zscore,JP_TAYLOR1_regime,JP_TAYLOR1_fwd_regime,CN_TAYLOR1_raw,CN_TAYLOR1_zscore,CN_TAYLOR1_regime,CN_TAYLOR1_fwd_regime,GL_MONPOL1_raw,GL_MONPOL1_zscore,GL_MONPOL1_regime,GL_MONPOL1_fwd_regime
2000-01-07,-0.13945126,,,,0.46777754,,,,,,,,,,,,1.14,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,0,,defensive,,,,,,,,,,,,,,,,,,-0.0031410587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,,,,,0.21,,normal,,,,,,,,,,0.2832,,,,12.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11095,,,n/a [leading],1.4864,,,n/a [leading],101.10863,,,n/a [leading],100.512,,,n/a [leading],0,,contracting,n/a [leading],101.3832,,,n/a [leading],100.7492,,,n/a [leading],101.1556,,,n/a [leading],101.8327,,,n/a [leading],100.3376,,,n/a [leading],101.3082,,,n/a [leading],100.9197,,,n/a [leading],99.8968,,,n/a [leading],100.7195,,,n/a [leading],3.8134041,,,,,,,,,,,,0.19400019,,normal,,,,,,,,,,-0.18734942,,,,,,,,,,neutral,n/a [leading],1.63,,,,,,,n/a [leading],0.2085,,normal,,,,,,,,,,,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,neutral,n/a [leading],,,neutral,n/a [leading],,,neutral,n/a [leading],2.3,,contraction,n/a [leading],32,,contraction,n/a [leading],114.8,,,n/a [leading],96.8,,,n/a [leading],-2.7447,,contraction,n/a [leading],,,neutral,n/a [leading],,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-14,-0.14433696,,,,0.48637231,,,,,,,,,,,,1.28,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,0,,defensive,,,,,,,,,,,,,,,,,,-0.015682099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,,,,,0.25,,normal,,,,,,,,,,0.2832,,,,12.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11095,,,n/a [leading],1.4864,,,n/a [leading],101.10863,,,n/a [leading],100.512,,,n/a [leading],0,,contracting,n/a [leading],101.3832,,,n/a [leading],100.7492,,,n/a [leading],101.1556,,,n/a [leading],101.8327,,,n/a [leading],100.3376,,,n/a [leading],101.3082,,,n/a [leading],100.9197,,,n/a [leading],99.8968,,,n/a [leading],100.7195,,,n/a [leading],3.8606139,,,,,,,,,,,,0.23399979,,normal,,,,,,,,,,-0.15886278,,,,,,,,,,neutral,n/a [leading],1.49,,,,,,,n/a [leading],0.2085,,normal,,,,,,,,,,,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,neutral,n/a [leading],,,neutral,n/a [leading],,,neutral,n/a [leading],2.3,,contraction,n/a [leading],32,,contraction,n/a [leading],114.8,,,n/a [leading],96.8,,,n/a [leading],-2.7447,,contraction,n/a [leading],,,neutral,n/a [leading],,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-21,-0.1518098,,,,0.46001228,,,,,,,,,,,,1.32,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,0,,defensive,,,,,,,,,,,,,,,,,,0.0025494467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,,,,,0.31,,normal,,,,,,,,,,0.2832,,,,12.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11095,,,n/a [leading],1.4864,,,n/a [leading],101.10863,,,n/a [leading],100.512,,,n/a [leading],0,,contracting,n/a [leading],101.3832,,,n/a [leading],100.7492,,,n/a [leading],101.1556,,,n/a [leading],101.8327,,,n/a [leading],100.3376,,,n/a [leading],101.3082,,,n/a [leading],100.9197,,,n/a [leading],99.8968,,,n/a [leading],100.7195,,,n/a [leading],3.7469136,,,,,,,,,,,,0.30100014,,normal,,,,,,,,,,-0.11116481,,,,,,,,,,neutral,n/a [leading],1.47,,,,,,,n/a [leading],0.2085,,normal,,,,,,,,,,,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,neutral,n/a [leading],,,neutral,n/a [leading],,,neutral,n/a [leading],2.3,,contraction,n/a [leading],32,,contraction,n/a [leading],114.8,,,n/a [leading],96.8,,,n/a [leading],-2.7447,,contraction,n/a [leading],,,neutral,n/a [leading],,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-28,-0.19713807,,,,0.46402329,,,,,,,,,,,,1.01,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,0,,defensive,,,,,,,,,,,,,,,,,,-0.016462659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,,,,,0.08,,normal,,,,,,,,,,0.2832,,,,12.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11095,,,n/a [leading],1.4864,,,n/a [leading],101.10863,,,n/a [leading],100.512,,,n/a [leading],0,,contracting,n/a [leading],101.3832,,,n/a [leading],100.7492,,,n/a [leading],101.1556,,,n/a [leading],101.8327,,,n/a [leading],100.3376,,,n/a [leading],101.3082,,,n/a [leading],100.9197,,,n/a [leading],99.8968,,,n/a [leading],100.7195,,,n/a [leading],3.8195277,,,,,,,,,,,,0.067999763,,normal,,,,,,,,,,-0.16265454,,,,,,,,,,neutral,n/a [leading],1.59,,,,,,,n/a [leading],0.2085,,normal,,,,,,,,,,,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,neutral,n/a [leading],,,neutral,n/a [leading],,,neutral,n/a [leading],2.3,,contraction,n/a [leading],32,,contraction,n/a [leading],114.8,,,n/a [leading],96.8,,,n/a [leading],-2.7447,,contraction,n/a [leading],,,neutral,n/a [leading],,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-04,-0.15442367,,,,0.46390525,,,,,,,,,,,,0.86,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,0,,defensive,,,,,,,,,,,,,,,,,,-0.0060001802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,,,,,-0.1,,inverted,,,,,,,,,,0.1261,,,,12.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29465,,,n/a [leading],1.5719,,,n/a [leading],101.19777,,,n/a [leading],100.49277,,,n/a [leading],0,,contracting,n/a [leading],101.3766,,,n/a [leading],100.9175,,,n/a [leading],101.3115,,,n/a [leading],102.031,,,n/a [leading],100.2508,,,n/a [leading],101.4575,,,n/a [leading],101.0644,,,n/a [leading],99.8047,,,n/a [leading],100.6092,,,n/a [leading],3.8005987,,,,,,,,,,,,-0.1129998,,inverted,,,,,,,,,,-0.088945737,,,,,,,,,,neutral,n/a [leading],1.72,,,,,,,n/a [leading],0.2174,,normal,,,,,,,,,,,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,neutral,n/a [leading],,,neutral,n/a [leading],,,neutral,n/a [leading],2.3,,contraction,n/a [leading],30.8,,contraction,n/a [leading],115.2,,,n/a [leading],96.2,,,n/a [leading],-5.1513,,contraction,n/a [leading],5,,contraction,n/a [leading],,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-11,-0.14208939,,,,0.45246671,,,,,,,,,,,,0.97,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,0,,defensive,,,,,,,,,,,,,,,,,,-0.0074388187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,,,,,-0.02,,inverted,,,,,,,,,,0.1261,,,,12.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29465,,,n/a [leading],1.5719,,,n/a [leading],101.19777,,,n/a [leading],100.49277,,,n/a [leading],0,,contracting,n/a [leading],101.3766,,,n/a [leading],100.9175,,,n/a [leading],101.3115,,,n/a [leading],102.031,,,n/a [leading],100.2508,,,n/a [leading],101.4575,,,n/a [leading],101.0644,,,n/a [leading],99.8047,,,n/a [leading],100.6092,,,n/a [leading],3.7981741,,,,,,,,,,,,-0.029000187,,inverted,,,,,,,,,,-0.033570268,,,,,,,,,,neutral,n/a [leading],1.73,,,,,,,n/a [leading],0.2174,,normal,,,,,,,,,,,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,neutral,n/a [leading],,,neutral,n/a [leading],,,neutral,n/a [leading],2.3,,contraction,n/a [leading],30.8,,contraction,n/a [leading],115.2,,,n/a [leading],96.2,,,n/a [leading],-5.1513,,contraction,n/a [leading],5,,contraction,n/a [leading],,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-18,-0.20461766,,,,0.46187279,,,,,,,,,,,,0.74,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,0,,defensive,,,,,,,,,,,,,,,,,,0.021407481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,,,,,-0.17,,inverted,,,,,,,,,,0.1261,,,,12.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29465,,,n/a [leading],1.5719,,,n/a [leading],101.19777,,,n/a [leading],100.49277,,,n/a [leading],0,,contracting,n/a [leading],101.3766,,,n/a [leading],100.9175,,,n/a [leading],101.3115,,,n/a [leading],102.031,,,n/a [leading],100.2508,,,n/a [leading],101.4575,,,n/a [leading],101.0644,,,n/a [leading],99.8047,,,n/a [leading],100.6092,,,n/a [leading],3.7782349,,,,,,,,,,,,-0.1770002,,inverted,,,,,,,,,,-0.023431414,,,,,,,,,,neutral,n/a [leading],1.89,,,,,,,n/a [leading],0.2174,,normal,,,,,,,,,,,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,neutral,n/a [leading],,,neutral,n/a [leading],,,neutral,n/a [leading],2.3,,contraction,n/a [leading],30.8,,contraction,n/a [leading],115.2,,,n/a [leading],96.2,,,n/a [leading],-5.1513,,contraction,n/a [leading],5,,contraction,n/a [leading],,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-25,-0.1817998,,,,0.49783982,,,,,,,,,,,,0.57,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,0,,defensive,,,,,,,,,,,,,,,,,,0.038721078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,,,,,-0.09,,inverted,,,,,,,,,,0.1261,,,,12.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29465,,,n/a [leading],1.5719,,,n/a [leading],101.19777,,,n/a [leading],100.49277,,,n/a [leading],0,,contracting,n/a [leading],101.3766,,,n/a [leading],100.9175,,,n/a [leading],101.3115,,,n/a [leading],102.031,,,n/a [leading],100.2508,,,n/a [leading],101.4575,,,n/a [leading],101.0644,,,n/a [leading],99.8047,,,n/a [leading],100.6092,,,n/a [leading],3.8266259,,,,,,,,,,,,-0.10899992,,inverted,,,,,,,,,,0.04691192,,,,,,,,,,neutral,n/a [leading],1.95,,,,,,,n/a [leading],0.2174,,normal,,,,,,,,,,,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,neutral,n/a [leading],,,neutral,n/a [leading],,,neutral,n/a [leading],2.3,,contraction,n/a [leading],30.8,,contraction,n/a [leading],115.2,,,n/a [leading],96.2,,,n/a [leading],-5.1513,,contraction,n/a [leading],5,,contraction,n/a [leading],,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-03,-0.12312958,,,,0.505484,,,,,,,,,,,,0.6,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,0,,defensive,,,,,,,,,,,,,,,,,,0.043598267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,,,,,-0.11,,inverted,,,,,,,,,,0.0377,,,,12.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5424,,,n/a [leading],1.5583,,,n/a [leading],101.3022,,,n/a [leading],100.45637,,,n/a [leading],0,,contracting,n/a [leading],101.3113,,,n/a [leading],101.0577,,,n/a [leading],101.4749,,,n/a [leading],102.2325,,,n/a [leading],100.1992,,,n/a [leading],101.5789,,,n/a [leading],101.1678,,,n/a [leading],99.753,,,n/a [leading],100.4483,,,n/a [leading],3.7428582,,,,,,,,,,,,-0.12900019,,inverted,,,,,,,,,,0.055180139,,,,,,,,,,neutral,n/a [leading],1.88,,,,,,,n/a [leading],0.244,,normal,,,,,,,,,,,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,neutral,n/a [leading],,,neutral,n/a [leading],,,neutral,n/a [leading],4.1,,contraction,n/a [leading],34.1,,contraction,n/a [leading],117.8,,,n/a [leading],97.8,,,n/a [leading],-6.1682,,contraction,n/a [leading],4.6667,,contraction,n/a [leading],,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-10,-0.12245518,,,,0.50711964,,,,,,,,,,,,0.52,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,0,,defensive,,,,,,,,,,,,,,,,,,0.038188437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,normal,,,,,,-0.16,,inverted,,,,,,,,,,0.0377,,,,12.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5424,,,n/a [leading],1.5583,,,n/a [leading],101.3022,,,n/a [leading],100.45637,,,n/a [leading],0,,contracting,n/a [leading],101.3113,,,n/a [leading],101.0577,,,n/a [leading],101.4749,,,n/a [leading],102.2325,,,n/a [leading],100.1992,,,n/a [leading],101.5789,,,n/a [leading],101.1678,,,n/a [leading],99.753,,,n/a [leading],100.4483,,,n/a [leading],3.7239292,,,,,,,,,,,,-0.16299992,,inverted,,,,,,,,,,0.092773871,,,,,,,,,,neutral,n/a [leading],1.84,,,,,,,n/a [leading],0.244,,normal,,,,,,,,,,,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,neutral,n/a [leading],,,neutral,n/a [leading],,,neutral,n/a [leading],4.1,,contraction,n/a [leading],34.1,,contraction,n/a [leading],117.8,,,n/a [leading],97.8,,,n/a [leading],-6.1682,,contraction,n/a [leading],4.6667,,contraction,n/a [leading],,,neutral,n/a [leading],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
