indicator,pillar,sub_group,cycle_timing_prior,region,regional_analogue,requested_source_freq,lag,status,pipeline_match,pipeline_source,candidate_free_source,notes
Yield Curve (10y minus 2y),Growth,Forward-Looking (Tier 1-2),Leading,US,UST 10y-2y,FRED / daily,Real-time,Covered,T10Y2Y; US_R2; US_R3,FRED,,Direct series plus 2s10s composites.
Yield Curve (10y minus 2y),Growth,Forward-Looking (Tier 1-2),Leading,UK,Gilts 10y-2y,FRED / daily,Real-time,Partial,IRLTLT01GBM156N (10y gilt); IUDSNPY/IUDMNPY (BoE par yields),FRED / BoE,BoE gilt yield curve (free),"10y present; no clean 2y benchmark, slope derivable from BoE par-yield curve."
Yield Curve (10y minus 2y),Growth,Forward-Looking (Tier 1-2),Leading,Eurozone,Bunds 10y-2y,FRED / daily,Real-time,Covered,Germany 10y Bund + 1-2y Bund yield (Bundesbank); ECB AAA 2Y,Bundesbank / ECB,,10y and short-tenor Bund both present; slope derivable.
Yield Curve (10y minus 2y),Growth,Forward-Looking (Tier 1-2),Leading,Japan,JGBs 10y-2y,FRED / daily,Real-time,Partial,IRLTLT01JPM156N (10y JGB); RATE_3M (3m),FRED / OECD,MoF Japan JGB yields (free),"10y present, no 2y benchmark; only 10y-3m computable today."
Yield Curve (10y minus 2y),Growth,Forward-Looking (Tier 1-2),Leading,China,CGBs 10y-2y,FRED / daily,Real-time,Partial,"IRLTLT01CNM156N (10y, OECD MEI monthly)",FRED,2y CGB leg + daily frequency remain hard,"10y leg now catalogued (IRLTLT01CNM156N, monthly). Slope still partial: no clean free 2y CGB benchmark and only monthly frequency. Resolves the spec's CN-10y 'accepted gap' for the 10y leg."
Yield Curve (10y minus 3m),Growth,Forward-Looking (Tier 1-2),Leading,US,UST 10y-3m,FRED / daily,Real-time,Covered,T10Y3M; US_R1,FRED,,Direct series plus composite.
Yield Curve (10y minus 3m),Growth,Forward-Looking (Tier 1-2),Leading,UK,Gilt 10y-3m,FRED / daily,Real-time,Covered,IRLTLT01GBM156N + RATE_3M,FRED / OECD,,10y gilt and 3m short rate both present; slope derivable.
Yield Curve (10y minus 3m),Growth,Forward-Looking (Tier 1-2),Leading,Eurozone,Bund 10y-3m,FRED / daily,Real-time,Covered,Germany 10y Bund + RATE_3M,Bundesbank / OECD,,Derivable.
Yield Curve (10y minus 3m),Growth,Forward-Looking (Tier 1-2),Leading,Japan,JGB 10y-3m,FRED / daily,Real-time,Covered,IRLTLT01JPM156N + RATE_3M,FRED / OECD,,Derivable.
OECD Composite Leading Indicator (CLI),Growth,Forward-Looking (Tier 1-2),Leading,US,OECD CLI US,OECD / monthly,5-6 weeks,Covered,OECD CLI; US_CLI1,OECD,,
OECD Composite Leading Indicator (CLI),Growth,Forward-Looking (Tier 1-2),Leading,UK,OECD CLI UK,OECD / monthly,5-6 weeks,Covered,OECD CLI; UK_CLI1,OECD,,
OECD Composite Leading Indicator (CLI),Growth,Forward-Looking (Tier 1-2),Leading,Eurozone,OECD CLI EA/DE/FR/IT,OECD / monthly,5-6 weeks,Covered,OECD CLI; EU_CLI1; DE_CLI1; FR_CLI1; IT_CLI1,OECD,,
OECD Composite Leading Indicator (CLI),Growth,Forward-Looking (Tier 1-2),Leading,Japan,OECD CLI JP,OECD / monthly,5-6 weeks,Covered,OECD CLI; JP_CLI1,OECD,,
OECD Composite Leading Indicator (CLI),Growth,Forward-Looking (Tier 1-2),Leading,China,OECD CLI CN,OECD / monthly,5-6 weeks,Covered,OECD CLI; CN_CLI1,OECD,,
OECD Composite Leading Indicator (CLI),Growth,Forward-Looking (Tier 1-2),Leading,EM aggregate,OECD CLI EM block,OECD / monthly,5-6 weeks,Partial,AS_CLI1; GL_CLI5,OECD,,Asia/global diffusion composites approximate the EM aggregate; no dedicated EM CLI.
