series_id,col,name,category,subcategory,units,frequency,country,notes,sort_key,concept,cycle_timing,freshness_override_days,is_historical_anchor,next_expected_release
USA|cpi,USA_CPI_JST,USA Consumer Price Index (JST Macrohistory),Prices,Inflation,Index 1990=100,Annual,USA,JST Macrohistory R6 column `cpi` — annual CPI index (base 1990=100). Codebook: JST_documentationR6.pdf §3. Pre-1950 cross-validation anchor per regime-AA v2 §3.11.,800,Inflation,G,730,true,2026-12-31
USA|gdp,USA_GDP_JST,USA Nominal GDP (JST Macrohistory),National Accounts,Activity,USD millions (nominal),Annual,USA,"JST Macrohistory R6 column `gdp` — annual nominal GDP. Codebook §3. The JST `gdp` variable is NOMINAL GDP (current prices, local currency), not real — relabelled 2026-06-17 per label-vs-data audit finding #4 (empirically USA grew ~64x 1950->2015, consistent with nominal not real ~6x). No live calculator consumes these columns (historical cross-validation anchor). For a real-GDP anchor, JST R6 also publishes `rgdpmad` (Maddison real GDP).",801,Growth,C,730,true,2026-12-31
USA|eq_tr,USA_EQUITY_TR_JST,USA Equity Total Return Index (JST Macrohistory),Markets,Equity,Index,Annual,USA,JST Macrohistory R6 column `eq_tr` — annual equity total return index including reinvested dividends. Codebook §5.,802,Equity,L,730,true,2026-12-31
USA|ltrate,USA_LTRATE_JST,USA Long-Term Government Bond Rate (JST Macrohistory),Rates,Government Yields,Percent,Annual,USA,JST Macrohistory R6 column `ltrate` — annual long-term (typically 10y) government bond yield in percent. Codebook §4.,803,Rates / Yields,C,730,true,2026-12-31
GBR|cpi,GBR_CPI_JST,United Kingdom Consumer Price Index (JST Macrohistory),Prices,Inflation,Index 1990=100,Annual,GBR,JST Macrohistory R6 column `cpi` — annual CPI index. Codebook §3.,804,Inflation,G,730,true,2026-12-31
GBR|gdp,GBR_GDP_JST,United Kingdom Nominal GDP (JST Macrohistory),National Accounts,Activity,GBP millions (nominal),Annual,GBR,"JST Macrohistory R6 column `gdp` — annual nominal GDP. Codebook §3. The JST `gdp` variable is NOMINAL GDP (current prices, local currency), not real — relabelled 2026-06-17 per label-vs-data audit finding #4 (empirically USA grew ~64x 1950->2015, consistent with nominal not real ~6x). No live calculator consumes these columns (historical cross-validation anchor). For a real-GDP anchor, JST R6 also publishes `rgdpmad` (Maddison real GDP).",805,Growth,C,730,true,2026-12-31
GBR|eq_tr,GBR_EQUITY_TR_JST,United Kingdom Equity Total Return Index (JST Macrohistory),Markets,Equity,Index,Annual,GBR,JST Macrohistory R6 column `eq_tr` — annual equity total return index. Codebook §5.,806,Equity,L,730,true,2026-12-31
GBR|ltrate,GBR_LTRATE_JST,United Kingdom Long-Term Government Bond Rate (JST Macrohistory),Rates,Government Yields,Percent,Annual,GBR,JST Macrohistory R6 column `ltrate` — annual long-term government bond yield in percent. Codebook §4.,807,Rates / Yields,C,730,true,2026-12-31
DEU|cpi,DEU_CPI_JST,Germany Consumer Price Index (JST Macrohistory),Prices,Inflation,Index 1990=100,Annual,DEU,JST Macrohistory R6 column `cpi` — annual CPI index. Codebook §3.,808,Inflation,G,730,true,2026-12-31
DEU|gdp,DEU_GDP_JST,Germany Nominal GDP (JST Macrohistory),National Accounts,Activity,EUR millions (nominal),Annual,DEU,"JST Macrohistory R6 column `gdp` — annual nominal GDP. Codebook §3. The JST `gdp` variable is NOMINAL GDP (current prices, local currency), not real — relabelled 2026-06-17 per label-vs-data audit finding #4 (empirically USA grew ~64x 1950->2015, consistent with nominal not real ~6x). No live calculator consumes these columns (historical cross-validation anchor). For a real-GDP anchor, JST R6 also publishes `rgdpmad` (Maddison real GDP).",809,Growth,C,730,true,2026-12-31
DEU|eq_tr,DEU_EQUITY_TR_JST,Germany Equity Total Return Index (JST Macrohistory),Markets,Equity,Index,Annual,DEU,JST Macrohistory R6 column `eq_tr` — annual equity total return index. Codebook §5.,810,Equity,L,730,true,2026-12-31
